990.0,1650.0,49.0,82.0
490.0,3330.0,24.0,166.0
230.0,2210.0,11.0,110.0
1230.0,3870.0,61.0,193.0
750.0,1110.0,37.0,55.0
610.0,1850.0,30.0,92.0
1610.0,3510.0,80.0,175.0
1370.0,2390.0,68.0,119.0
870.0,4070.0,43.0,203.0
1550.0,2030.0,77.0,101.0
310.0,3690.0,15.0,184.0
1310.0,910.0,65.0,45.0
810.0,2590.0,40.0,129.0
170.0,1470.0,8.0,73.0
1170.0,3130.0,58.0,156.0
670.0,4810.0,33.0,240.0
430.0,1710.0,21.0,85.0
1430.0,3390.0,71.0,169.0
930.0,610.0,46.0,30.0
1930.0,2270.0,96.0,113.0
1030.0,1170.0,51.0,58.0
530.0,2830.0,26.0,141.0
1270.0,1910.0,63.0,95.0
770.0,3570.0,38.0,178.0
1150.0,4130.0,57.0,206.0
650.0,1350.0,32.0,67.0
390.0,4690.0,19.0,234.0
890.0,2090.0,44.0,104.0
1090.0,2650.0,54.0,132.0
590.0,4310.0,29.0,215.0
1590.0,1530.0,79.0,76.0
330.0,3190.0,16.0,159.0
830.0,110.0,41.0,5.0
710.0,2330.0,35.0,116.0
450.0,1230.0,22.0,61.0
1450.0,2890.0,72.0,144.0
1010.0,3630.0,50.0,181.0
510.0,850.0,25.0,42.0
1510.0,2530.0,75.0,126.0
250.0,4190.0,12.0,209.0
1250.0,1410.0,62.0,70.0
750.0,3070.0,37.0,153.0
1130.0,2150.0,56.0,107.0
630.0,3810.0,31.0,190.0
390.0,2710.0,19.0,135.0
890.0,1590.0,44.0,79.0
570.0,1670.0,28.0,83.0
1570.0,3350.0,78.0,167.0
1310.0,2230.0,65.0,111.0
810.0,3890.0,40.0,194.0
